,Country,Commodity,Commodity (Type),Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE)
391,Austria,FRESH DAIRY PRODUCTS,DAIRY,2021,30.3994899999999,674.740425,0.102398,153.903937999999,705.1399149999999,154.00633599999898,83871,8914.448
392,Austria,FRESH DAIRY PRODUCTS,DAIRY,2022,15.4767439999999,698.776103,0.0152059999999999,152.276279,714.252847,152.291485,83871,8929.716
949,Austria,SKIMMED MILK POWDER,DAIRY,2002,0.850599999999999,5.7833,0.238,5.65318999999999,6.633899999999999,5.891189999999989,83871,8059.591
950,Austria,SKIMMED MILK POWDER,DAIRY,2003,0.2141,12.1204,0.001,16.5248,12.3345,16.5258,83871,8098.393
951,Austria,SKIMMED MILK POWDER,DAIRY,2004,0.1883,9.6151,0.1303,7.7926,9.8034,7.9229,83871,8141.815
952,Austria,SKIMMED MILK POWDER,DAIRY,2005,0.204899999999999,2.5366,0.0566,8.10270899999999,2.741499999999999,8.15930899999999,83871,8200.618
953,Austria,SKIMMED MILK POWDER,DAIRY,2006,0.1456,8.98469999999999,0.1651,12.0269,9.13029999999999,12.192,83871,8253.451
954,Austria,SKIMMED MILK POWDER,DAIRY,2007,0.3245,5.3319,0.6084,13.397,5.6564,14.0054,83871,8282.076
955,Austria,SKIMMED MILK POWDER,DAIRY,2008,1.0835,6.2156,0.0702,13.3111,7.2991,13.3813,83871,8307.368
956,Austria,SKIMMED MILK POWDER,DAIRY,2009,0.6757,5.1438,0.0653,11.8759,5.8195,11.9412,83871,8334.895
957,Austria,SKIMMED MILK POWDER,DAIRY,2010,0.666029,2.382077,0.008888,10.589394,3.048106,10.598282000000001,83871,8350.976
958,Austria,SKIMMED MILK POWDER,DAIRY,2011,0.684734,1.961023,0.001522,9.703542,2.6457569999999997,9.705064,83871,8374.682
959,Austria,SKIMMED MILK POWDER,DAIRY,2012,0.859059,1.740615,0.0793939999999999,9.791052,2.5996740000000003,9.870446000000001,83871,8407.717
960,Austria,SKIMMED MILK POWDER,DAIRY,2013,1.231426,1.801267,0.018134,11.775124,3.032693,11.793258,83871,8451.556
961,Austria,SKIMMED MILK POWDER,DAIRY,2014,1.45007,1.0375,0.001414,15.298254,2.48757,15.299668,83871,8507.522
962,Austria,SKIMMED MILK POWDER,DAIRY,2015,2.516328,0.87049,0.00128299999999999,16.266015,3.386818,16.267298,83871,8584.609
963,Austria,SKIMMED MILK POWDER,DAIRY,2016,4.595401,1.600616,0.003327,17.735444,6.196016999999999,17.738771,83871,8700.233
964,Austria,SKIMMED MILK POWDER,DAIRY,2017,1.706899,2.522285,0.217307,13.422195,4.229184,13.639502,83871,8772.74
965,Austria,SKIMMED MILK POWDER,DAIRY,2018,3.919511,9.015463,0.425033999999999,11.794473,12.934974,12.219506999999998,83871,8822.252
966,Austria,SKIMMED MILK POWDER,DAIRY,2019,1.592642,6.458616,0.100539999999999,12.062558,8.051258,12.163097999999998,83871,8858.773
967,Austria,SKIMMED MILK POWDER,DAIRY,2020,3.400299,5.159546,0.057014,12.5602519999999,8.559845,12.617265999999901,83871,8901.106
968,Austria,SKIMMED MILK POWDER,DAIRY,2021,1.898701,5.948197,0.00492999999999999,12.694978,7.846898,12.699908,83871,8914.448
969,Austria,SKIMMED MILK POWDER,DAIRY,2022,1.282796,3.802757,0.003769,14.09432,5.085553,14.098089,83871,8929.716
1138,Austria,TOTAL BUTTER,DAIRY,2002,0.447553999999999,2.39376499999999,0.1319755,8.026171,2.841318999999989,8.158146499999999,83871,8059.591
1139,Austria,TOTAL BUTTER,DAIRY,2003,0.167182,1.898905,0.230545399999999,11.495976,2.066087,11.7265214,83871,8098.393
1140,Austria,TOTAL BUTTER,DAIRY,2004,0.315048,1.99458599999999,0.1082154,13.048705,2.30963399999999,13.1569204,83871,8141.815
1141,Austria,TOTAL BUTTER,DAIRY,2005,0.222086,2.489442,0.490349999999999,11.893565,2.711528,12.383915,83871,8200.618
1142,Austria,TOTAL BUTTER,DAIRY,2006,0.288626,2.495128,0.15935,12.127096,2.7837539999999996,12.286446,83871,8253.451
1143,Austria,TOTAL BUTTER,DAIRY,2007,0.342212,3.129413,0.00300999999999999,10.722088,3.471625,10.725098,83871,8282.076
1144,Austria,TOTAL BUTTER,DAIRY,2008,0.6229342,2.967418,0.00115,12.113249,3.5903522,12.114399,83871,8307.368
1145,Austria,TOTAL BUTTER,DAIRY,2009,0.3431028,2.894638,0.11026,12.703484,3.2377408,12.813744,83871,8334.895
1146,Austria,TOTAL BUTTER,DAIRY,2010,0.4350472,2.219002,5.49e-05,13.326253,2.6540492,13.3263079,83871,8350.976
1147,Austria,TOTAL BUTTER,DAIRY,2011,0.2179754,1.34999199999999,0.0051819,14.3481879999999,1.5679673999999901,14.3533698999999,83871,8374.682
1148,Austria,TOTAL BUTTER,DAIRY,2012,0.0586683999999999,1.83904499999999,0.0136729,14.065987,1.89771339999999,14.0796599,83871,8407.717
1149,Austria,TOTAL BUTTER,DAIRY,2013,0.113515,1.810679,0.0032356,14.677108,1.924194,14.6803436,83871,8451.556
1150,Austria,TOTAL BUTTER,DAIRY,2014,0.1808608,2.020546,0.0036787,16.726629,2.2014068,16.730307699999997,83871,8507.522
1151,Austria,TOTAL BUTTER,DAIRY,2015,0.160981399999999,4.008334,0.00443229999999999,16.607692,4.169315399999999,16.6121243,83871,8584.609
1152,Austria,TOTAL BUTTER,DAIRY,2016,0.0686216,4.56626,0.0549376,16.512192,4.6348816,16.567129599999998,83871,8700.233
1153,Austria,TOTAL BUTTER,DAIRY,2017,0.0725553999999999,3.790658,0.0267391,14.638771,3.8632134,14.6655101,83871,8772.74
1154,Austria,TOTAL BUTTER,DAIRY,2018,0.0459242,3.64951,0.0334673999999999,15.343981,3.6954342,15.377448399999999,83871,8822.252
1155,Austria,TOTAL BUTTER,DAIRY,2019,0.0457557999999999,4.401286,0.1380045,18.7860479999999,4.4470418,18.924052499999902,83871,8858.773
1156,Austria,TOTAL BUTTER,DAIRY,2020,0.025615,4.083496,0.103010499999999,19.901488,4.109111,20.0044985,83871,8901.106
1157,Austria,TOTAL BUTTER,DAIRY,2021,0.0399212,4.822015,0.0601001,19.84539,4.861936200000001,19.905490099999998,83871,8914.448
1158,Austria,TOTAL BUTTER,DAIRY,2022,0.024229,4.57908,0.0300713999999999,20.291043,4.603309,20.3211144,83871,8929.716
1180,Austria,TOTAL CHEESE,DAIRY,2002,10.6159,66.4818,4.96459999999999,62.037721,77.0977,67.002321,83871,8059.591
1181,Austria,TOTAL CHEESE,DAIRY,2003,13.5819,71.7396,6.09509999999999,64.092981,85.3215,70.18808099999998,83871,8098.393
1182,Austria,TOTAL CHEESE,DAIRY,2004,13.8286,73.0511,5.6579,66.242265,86.8797,71.900165,83871,8141.815
1183,Austria,TOTAL CHEESE,DAIRY,2005,13.9775,71.5762,6.1468,70.53491,85.55369999999999,76.68171,83871,8200.618
1184,Austria,TOTAL CHEESE,DAIRY,2006,14.7810999999999,71.6369,4.0831,74.361338,86.41799999999989,78.444438,83871,8253.451
1185,Austria,TOTAL CHEESE,DAIRY,2007,13.812,73.7006,3.1736,74.1778349999999,87.51259999999999,77.3514349999999,83871,8282.076
1186,Austria,TOTAL CHEESE,DAIRY,2008,14.0138,73.7853,3.0058,78.69255,87.79910000000001,81.69834999999999,83871,8307.368
1187,Austria,TOTAL CHEESE,DAIRY,2009,16.3397,79.8085,4.7269,83.613294,96.1482,88.340194,83871,8334.895
1188,Austria,TOTAL CHEESE,DAIRY,2010,16.13776,84.87208,3.93377099999999,87.3911179999999,101.00984,91.3248889999999,83871,8350.976
1189,Austria,TOTAL CHEESE,DAIRY,2011,15.8106289999999,88.647204,3.92027199999999,93.494291,104.45783299999991,97.41456299999999,83871,8374.682
1190,Austria,TOTAL CHEESE,DAIRY,2012,17.691416,88.598702,4.110529,96.361953,106.290118,100.472482,83871,8407.717
1191,Austria,TOTAL CHEESE,DAIRY,2013,21.354738,70.352345,3.186275,101.549153,91.707083,104.735428,83871,8451.556
1192,Austria,TOTAL CHEESE,DAIRY,2014,19.443958,90.0264689999999,3.039439,109.844484,109.4704269999999,112.883923,83871,8507.522
